datetime,consumption
2016-07-15 00:00:00,701.0
2016-07-15 00:30:00,729.0
2016-07-15 01:00:00,685.0
2016-07-15 01:30:00,328.0
2016-07-15 02:00:00,258.0
2016-07-15 02:30:00,246.0
2016-07-15 03:00:00,245.0
2016-07-15 03:30:00,244.0
2016-07-15 04:00:00,244.0
2016-07-15 04:30:00,243.0
2016-07-15 05:00:00,242.0
2016-07-15 05:30:00,242.0
2016-07-15 06:00:00,345.0
2016-07-15 06:30:00,327.0
2016-07-15 07:00:00,574.0
2016-07-15 07:30:00,1378.0
2016-07-15 08:00:00,2259.0
2016-07-15 08:30:00,2080.0
2016-07-15 09:00:00,406.0
2016-07-15 09:30:00,239.0
2016-07-15 10:00:00,240.0
2016-07-15 10:30:00,238.0
2016-07-15 11:00:00,277.0
2016-07-15 11:30:00,332.0
2016-07-15 12:00:00,471.0
2016-07-15 12:30:00,532.0
2016-07-15 13:00:00,607.0
2016-07-15 13:30:00,819.0
2016-07-15 14:00:00,629.0
2016-07-15 14:30:00,2022.0
2016-07-15 15:00:00,2372.0
2016-07-15 15:30:00,2624.0
2016-07-15 16:00:00,1213.0
2016-07-15 16:30:00,5244.0
2016-07-15 17:00:00,3405.0
2016-07-15 17:30:00,2372.0
2016-07-15 18:00:00,1326.0
2016-07-15 18:30:00,1105.0
2016-07-15 19:00:00,1189.0
2016-07-15 19:30:00,1428.0
2016-07-15 20:00:00,2844.0
2016-07-15 20:30:00,2495.0
2016-07-15 21:00:00,979.0
2016-07-15 21:30:00,1152.0
2016-07-15 22:00:00,1623.0
2016-07-15 22:30:00,800.0
2016-07-15 23:00:00,769.0
2016-07-15 23:30:00,643.0
2016-07-16 00:00:00,332.0
2016-07-16 00:30:00,307.0
2016-07-16 01:00:00,376.0
2016-07-16 01:30:00,343.0
2016-07-16 02:00:00,338.0
2016-07-16 02:30:00,243.0
2016-07-16 03:00:00,294.0
2016-07-16 03:30:00,335.0
2016-07-16 04:00:00,325.0
2016-07-16 04:30:00,249.0
2016-07-16 05:00:00,238.0
2016-07-16 05:30:00,239.0
2016-07-16 06:00:00,237.0
2016-07-16 06:30:00,524.0
2016-07-16 07:00:00,237.0
2016-07-16 07:30:00,464.0
2016-07-16 08:00:00,332.0
2016-07-16 08:30:00,304.0
2016-07-16 09:00:00,236.0
2016-07-16 09:30:00,236.0
2016-07-16 10:00:00,349.0
2016-07-16 10:30:00,573.0
2016-07-16 11:00:00,443.0
2016-07-16 11:30:00,1006.0
2016-07-16 12:00:00,699.0
2016-07-16 12:30:00,618.0
2016-07-16 13:00:00,481.0
2016-07-16 13:30:00,403.0
2016-07-16 14:00:00,412.0
2016-07-16 14:30:00,1141.0
2016-07-16 15:00:00,2434.0
2016-07-16 15:30:00,475.0
2016-07-16 16:00:00,466.0
2016-07-16 16:30:00,1198.0
2016-07-16 17:00:00,1278.0
2016-07-16 17:30:00,776.0
2016-07-16 18:00:00,469.0
2016-07-16 18:30:00,508.0
2016-07-16 19:00:00,2809.0
2016-07-16 19:30:00,5173.0
2016-07-16 20:00:00,2249.0
2016-07-16 20:30:00,2174.0
2016-07-16 21:00:00,2238.0
2016-07-16 21:30:00,833.0
2016-07-16 22:00:00,3186.0
2016-07-16 22:30:00,2067.0
2016-07-16 23:00:00,2198.0
2016-07-16 23:30:00,677.0
2016-07-17 00:00:00,480.0
2016-07-17 00:30:00,451.0
2016-07-17 01:00:00,380.0
2016-07-17 01:30:00,359.0
2016-07-17 02:00:00,289.0
2016-07-17 02:30:00,299.0
2016-07-17 03:00:00,266.0
2016-07-17 03:30:00,262.0
2016-07-17 04:00:00,276.0
2016-07-17 04:30:00,351.0
2016-07-17 05:00:00,338.0
2016-07-17 05:30:00,336.0
2016-07-17 06:00:00,309.0
2016-07-17 06:30:00,246.0
2016-07-17 07:00:00,480.0
2016-07-17 07:30:00,434.0
2016-07-17 08:00:00,388.0
2016-07-17 08:30:00,1593.0
2016-07-17 09:00:00,842.0
2016-07-17 09:30:00,354.0
2016-07-17 10:00:00,334.0
2016-07-17 10:30:00,640.0
2016-07-17 11:00:00,326.0
2016-07-17 11:30:00,243.0
2016-07-17 12:00:00,273.0
2016-07-17 12:30:00,508.0
2016-07-17 13:00:00,514.0
2016-07-17 13:30:00,476.0
2016-07-17 14:00:00,532.0
2016-07-17 14:30:00,773.0
2016-07-17 15:00:00,716.0
2016-07-17 15:30:00,646.0
2016-07-17 16:00:00,1912.0
2016-07-17 16:30:00,2642.0
2016-07-17 17:00:00,1997.0
2016-07-17 17:30:00,402.0
2016-07-17 18:00:00,466.0
2016-07-17 18:30:00,357.0
2016-07-17 19:00:00,834.0
2016-07-17 19:30:00,1932.0
2016-07-17 20:00:00,6216.0
2016-07-17 20:30:00,5671.0
2016-07-17 21:00:00,3975.0
2016-07-17 21:30:00,2264.0
2016-07-17 22:00:00,1211.0
2016-07-17 22:30:00,1345.0
2016-07-17 23:00:00,928.0
2016-07-17 23:30:00,746.0
2016-07-18 00:00:00,424.0
2016-07-18 00:30:00,374.0
2016-07-18 01:00:00,360.0
2016-07-18 01:30:00,351.0
2016-07-18 02:00:00,349.0
2016-07-18 02:30:00,813.0
2016-07-18 03:00:00,421.0
2016-07-18 03:30:00,369.0
2016-07-18 04:00:00,406.0
2016-07-18 04:30:00,398.0
2016-07-18 05:00:00,375.0
2016-07-18 05:30:00,312.0
2016-07-18 06:00:00,624.0
2016-07-18 06:30:00,375.0
2016-07-18 07:00:00,245.0
2016-07-18 07:30:00,244.0
2016-07-18 08:00:00,296.0
2016-07-18 08:30:00,339.0
2016-07-18 09:00:00,566.0
2016-07-18 09:30:00,1386.0
2016-07-18 10:00:00,360.0
2016-07-18 10:30:00,738.0
2016-07-18 11:00:00,310.0
2016-07-18 11:30:00,450.0
2016-07-18 12:00:00,2151.0
2016-07-18 12:30:00,4048.0
2016-07-18 13:00:00,2693.0
2016-07-18 13:30:00,832.0
2016-07-18 14:00:00,690.0
2016-07-18 14:30:00,292.0
2016-07-18 15:00:00,662.0
2016-07-18 15:30:00,323.0
2016-07-18 16:00:00,581.0
2016-07-18 16:30:00,416.0
2016-07-18 17:00:00,3047.0
2016-07-18 17:30:00,881.0
2016-07-18 18:00:00,411.0
2016-07-18 18:30:00,708.0
2016-07-18 19:00:00,975.0
2016-07-18 19:30:00,360.0
2016-07-18 20:00:00,556.0
2016-07-18 20:30:00,259.0
2016-07-18 21:00:00,566.0
2016-07-18 21:30:00,557.0
2016-07-18 22:00:00,1091.0
2016-07-18 22:30:00,2944.0
2016-07-18 23:00:00,997.0
2016-07-18 23:30:00,397.0
2016-07-19 00:00:00,377.0
2016-07-19 00:30:00,278.0
2016-07-19 01:00:00,247.0
2016-07-19 01:30:00,248.0
2016-07-19 02:00:00,248.0
2016-07-19 02:30:00,247.0
2016-07-19 03:00:00,245.0
2016-07-19 03:30:00,246.0
2016-07-19 04:00:00,246.0
2016-07-19 04:30:00,279.0
2016-07-19 05:00:00,344.0
2016-07-19 05:30:00,338.0
2016-07-19 06:00:00,287.0
2016-07-19 06:30:00,248.0
2016-07-19 07:00:00,248.0
2016-07-19 07:30:00,245.0
2016-07-19 08:00:00,243.0
2016-07-19 08:30:00,242.0
2016-07-19 09:00:00,547.0
2016-07-19 09:30:00,437.0
2016-07-19 10:00:00,2270.0
2016-07-19 10:30:00,3156.0
2016-07-19 11:00:00,4073.0
2016-07-19 11:30:00,3995.0
2016-07-19 12:00:00,725.0
2016-07-19 12:30:00,1422.0
2016-07-19 13:00:00,763.0
2016-07-19 13:30:00,707.0
2016-07-19 14:00:00,1598.0
2016-07-19 14:30:00,5193.0
2016-07-19 15:00:00,3125.0
2016-07-19 15:30:00,4753.0
2016-07-19 16:00:00,4119.0
2016-07-19 16:30:00,2525.0
2016-07-19 17:00:00,1330.0
2016-07-19 17:30:00,906.0
2016-07-19 18:00:00,1938.0
2016-07-19 18:30:00,918.0
2016-07-19 19:00:00,682.0
2016-07-19 19:30:00,670.0
2016-07-19 20:00:00,1043.0
2016-07-19 20:30:00,504.0
2016-07-19 21:00:00,688.0
2016-07-19 21:30:00,1723.0
2016-07-19 22:00:00,1009.0
2016-07-19 22:30:00,456.0
2016-07-19 23:00:00,786.0
2016-07-19 23:30:00,452.0
2016-07-20 00:00:00,786.0
2016-07-20 00:30:00,514.0
2016-07-20 01:00:00,411.0
2016-07-20 01:30:00,595.0
2016-07-20 02:00:00,719.0
2016-07-20 02:30:00,507.0
2016-07-20 03:00:00,525.0
2016-07-20 03:30:00,440.0
2016-07-20 04:00:00,371.0
2016-07-20 04:30:00,371.0
2016-07-20 05:00:00,437.0
2016-07-20 05:30:00,462.0
2016-07-20 06:00:00,453.0
2016-07-20 06:30:00,450.0
2016-07-20 07:00:00,365.0
2016-07-20 07:30:00,365.0
2016-07-20 08:00:00,366.0
2016-07-20 08:30:00,366.0
2016-07-20 09:00:00,596.0
2016-07-20 09:30:00,550.0
2016-07-20 10:00:00,245.0
2016-07-20 10:30:00,507.0
2016-07-20 11:00:00,704.0
2016-07-20 11:30:00,574.0
2016-07-20 12:00:00,2102.0
2016-07-20 12:30:00,1222.0
2016-07-20 13:00:00,768.0
2016-07-20 13:30:00,1708.0
2016-07-20 14:00:00,974.0
2016-07-20 14:30:00,578.0
2016-07-20 15:00:00,2241.0
2016-07-20 15:30:00,1597.0
2016-07-20 16:00:00,2759.0
2016-07-20 16:30:00,2649.0
2016-07-20 17:00:00,2405.0
2016-07-20 17:30:00,1857.0
2016-07-20 18:00:00,1310.0
2016-07-20 18:30:00,522.0
2016-07-20 19:00:00,1615.0
2016-07-20 19:30:00,1860.0
2016-07-20 20:00:00,3750.0
2016-07-20 20:30:00,1488.0
2016-07-20 21:00:00,1147.0
2016-07-20 21:30:00,647.0
2016-07-20 22:00:00,1550.0
2016-07-20 22:30:00,595.0
2016-07-20 23:00:00,418.0
2016-07-20 23:30:00,342.0
2016-07-21 00:00:00,343.0
2016-07-21 00:30:00,415.0
2016-07-21 01:00:00,459.0
2016-07-21 01:30:00,369.0
2016-07-21 02:00:00,288.0
2016-07-21 02:30:00,245.0
2016-07-21 03:00:00,245.0
2016-07-21 03:30:00,304.0
2016-07-21 04:00:00,338.0
2016-07-21 04:30:00,332.0
2016-07-21 05:00:00,290.0
2016-07-21 05:30:00,246.0
2016-07-21 06:00:00,244.0
2016-07-21 06:30:00,243.0
2016-07-21 07:00:00,242.0
2016-07-21 07:30:00,960.0
2016-07-21 08:00:00,999.0
2016-07-21 08:30:00,398.0
2016-07-21 09:00:00,413.0
2016-07-21 09:30:00,326.0
2016-07-21 10:00:00,496.0
2016-07-21 10:30:00,1351.0
2016-07-21 11:00:00,2078.0
2016-07-21 11:30:00,2454.0
2016-07-21 12:00:00,2561.0
2016-07-21 12:30:00,2352.0
2016-07-21 13:00:00,3417.0
2016-07-21 13:30:00,2357.0
2016-07-21 14:00:00,715.0
2016-07-21 14:30:00,776.0
2016-07-21 15:00:00,1727.0
2016-07-21 15:30:00,1291.0
2016-07-21 16:00:00,2441.0
2016-07-21 16:30:00,3430.0
2016-07-21 17:00:00,1191.0
2016-07-21 17:30:00,375.0
2016-07-21 18:00:00,930.0
2016-07-21 18:30:00,1088.0
2016-07-21 19:00:00,1371.0
2016-07-21 19:30:00,1787.0
2016-07-21 20:00:00,2041.0
2016-07-21 20:30:00,3920.0
2016-07-21 21:00:00,1988.0
2016-07-21 21:30:00,1938.0
2016-07-21 22:00:00,1142.0
2016-07-21 22:30:00,744.0
2016-07-21 23:00:00,717.0
2016-07-21 23:30:00,668.0
2016-07-22 00:00:00,388.0
2016-07-22 00:30:00,312.0
2016-07-22 01:00:00,333.0
2016-07-22 01:30:00,329.0
2016-07-22 02:00:00,258.0
2016-07-22 02:30:00,264.0
2016-07-22 03:00:00,253.0
2016-07-22 03:30:00,252.0
2016-07-22 04:00:00,336.0
2016-07-22 04:30:00,343.0
2016-07-22 05:00:00,337.0
2016-07-22 05:30:00,266.0
2016-07-22 06:00:00,252.0
2016-07-22 06:30:00,257.0
